Month,Impressions,Direct ATC,Indirect ATC,Total ATC,Direct Qty,Indirect Qty,Total Qty,Direct Sales,Indirect Sales,Total Sales ,Amount Spent ,RoAS,Revenue
May'26,"6,427",32,3,35,12,2,14,"4,120",798,"4,918","17,444",0.3,"4,918"
April'26,"9,674",115,45,160,66,25,91,"26,435","9,672","36,107","5,264",6.9,"36,107"
March'26,"35,622",708,715,1423,370,428,798,127352,161172,288524,"42,257",1.8,"75,648"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Impressions,Direct ATC,Indirect ATC,Total ATC,Direct Qty,Indirect Qty,Total Qty,Direct Sales (₹),Indirect Sales (₹),Total Sales (₹),Budget Spent (₹),RoAS,
1-May-26,158,1,0,1,0,0,0,0,0,0,63,0,
2-May-26,148,2,0,2,0,0,0,0,0,0,64,0,
3-May-26,134,1,1,2,1,1,2,399,399,798,60,13.34448161,
4-May-26,93,0,0,0,0,0,0,0,0.00,0,39,0,
5-May-26,111,2,0,2,1,0,1,399,0.00,399,44,9.088838269,
6-May-26,901,5,1,6,2,0,2,664,0.00,664,3360,0.197630811,
7-May-26,1048,4,0,4,1,0,1,165,0.00,165,3848,0.042878304,
8-May-26,829,0.23,0,0.23,,,0,,,0,3591,0,
9-May-26,275,,,0,,,0,,,0,673,#REF!,
10-May-26,263,,,0,,,0,,,0,615,0,
11-May-26,285,4,0,4,1,0,1,265,0.00,265,611,0.433715221,
12-May-26,271,4,1,5,2,1,3,664,399.00,"1,063",519,2.048169557,
13-May-26,181,0,0,0,0,0,0,0,0.00,0,346,0,
14-May-26,234,1,0,1,1,0,1,450,0.00,450,418,1.076555024,
15-May-26,249,0,0,0,0,0,0,0,0.00,0,496,0,
16-May-26,257,2,0,2,1,0,1,265,0.00,265,481,0.550935551,
17-May-26,253,3,0,3,1,0,1,399,0.00,399,577,0.691387974,
18-May-26,275,0,0,0,0,0,0,0,0.00,0,620,0,
19-May-26,213,2,0,2,0,0,0,0,0.00,0,447,0,
20-May-26,249,1,0,1,1,0,1,450,0.00,450,573,0.785340314,
21-May-26,,,,0,,,0,,,0,,#DIV/0!,
22-May-26,,,,0,,,0,,,0,,#DIV/0!,
23-May-26,,,,0,,,0,,,0,,#DIV/0!,
24-May-26,,,,0,,,0,,,0,,#DIV/0!,
25-May-26,,,,0,,,0,,,0,,#DIV/0!,
26-May-26,,,,0,,,0,,,0,,#DIV/0!,
27-May-26,,,,0,,,0,,,0,,#DIV/0!,
28-May-26,,,,0,,,0,,,0,,#DIV/0!,
29-May-26,,,,0,,,0,,,0,,#DIV/0!,
30-May-26,,,,0,,,0,,,0,,#DIV/0!,
31-May-26,,,,0,,,0,,,0,,#DIV/0!,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Impressions,Direct ATC,Indirect ATC,Total ATC,Direct Qty,Indirect Qty,Total Qty,Direct Sales (₹),Indirect Sales (₹),Total Sales (₹),Budget Spent (₹),RoAS,
1-Apr-26,446,3,4,7,1,3,4,450,"1,350.00","1,800",360,5.01,
2-Apr-26,432,1,2,3,0,0,0,0,0,0,306,0,
3-Apr-26,378,6,2,8,6,2,8,"2,394",530,"2,924",293,9.97,
4-Apr-26,364,1,2,3,1,2,3,265,664,929,273,3.4,
5-Apr-26,390,4,1,5,3,1,4,"1,063",168,"1,231",257,4.78,
6-Apr-26,336,4,0,4,2,0,2,849,0,849,221,3.84,
7-Apr-26,357,4,0,4,3,0,3,"1,248",0,"1,248",195,6.39,
8-Apr-26,284,4,1,5,3,1,4,"1,197",168,"1,365",169,8.1,
9-Apr-26,472,2,3,5,1,1,2,450,450,900,274,3.28,
10-Apr-26,541,5,7,12,4,4,8,"1,698","1,698","3,396",303,11.19,
11-Apr-26,573,10,10,20,5,3,8,"2,199","1,350","3,549",292,12.17,
12-Apr-26,477,6,3,9,5,3,8,"2,014","1,248","3,262",222,14.69,
13-Apr-26,449,10,3,13,4,2,6,"1,698",798,"2,496",211,11.85,
14-Apr-26,364,9,1,10,1,1,2,450,399,849,160,5.29,
15-Apr-26,342,9,1,10,4,1,5,1698,399,"2,097",162,12.94,
16-Apr-26,294,4,0,4,1,0,1,450,0,450,139,3.24,
17-Apr-26,307,3,0,3,2,0,2,849,0,849,173,4.91,
18-Apr-26,313,3,0,3,1,0,1,450,0,450,145,3.10,
19-Apr-26,327,4,2,6,2,1,3,849,450,"1,299",150,8.66,
20-Apr-26,247,2,0,2,2,0,2,849,0,849,109,7.79,
21-Apr-26,217,2,0,2,2,0,2,664,0,664,101,6.57,
22-Apr-26,255,1,0,1,0,0,0,0,0,0,109,0.00,
23-Apr-26,200,4,0,4,2,0,2,798,0,798,78,10.23,
24-Apr-26,240,1,0,1,0,0,0,0,0,0,109.3,0.00,
25-Apr-26,230,7,1,8,6,0,6,1858,0,"1,858",111.8,16.62,
26-Apr-26,192,0,0,0,0,0,0,0,0,0,91.9,0.00,
27-Apr-26,168,2,0,2,2,0,2,798,0,798,63.7,12.53,
28-Apr-26,189,2,1,3,2,0,2,798,0,798,74,10.78,
29-Apr-26,159,0,1,1,0,0,0,0,0,0,58.7,0.00,
30-Apr-26,131,2,0,2,1,0,1,399,0,399,52.2,7.64,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Impressions,Direct ATC,Indirect ATC,Total ATC,Direct Qty,Indirect Qty,Total Qty,Direct Sales (₹),Indirect Sales (₹),Total Sales (₹),Budget Spent (₹),RoAS,
1-Mar-26,"1,451",35,50,85,22,38,60,"7,157","15,402","22,559","1,759",12.82,
2-Mar-26,"1,240",24,44,68,16,24,40,"5,618","8,891","14,509","1,422",10.2,
3-Mar-26,"1,451",19,54,73,8,36,44,"2,675","14,081","16,756","1,492",11.23,
4-Mar-26,"1,473",31,63,94,19,41,60,"6,413","14,449","20,862","1,672",12.47,
5-Mar-26,"1,526",24,55,79,8,28,36,"3,045","10,583","13,628","1,936",7.04,
6-Mar-26,"1,540",22,41,63,9,26,35,"2,704","8,939","11,643","2,162",5.38,
7-Mar-26,"1,594",35,45,80,14,26,40,"4,297","10,506","14,803","2,241",6.61,
8-Mar-26,"1,713",31,35,66,13,21,34,"4,370","7,951","12,321","2,276",5.41,
9-Mar-26,"1,511",25,51,76,12,25,37,"3,869","9,397","13,266","2,071",6.4,
10-Mar-26,"1,724",35,31,66,20,18,38,"6,174","6,976","13,150","2,289",5.75,
11-Mar-26,"1,586",38,39,77,24,18,42,"7,585","7,124","14,709","2,103",6.99,
12-Mar-26,"1,632",34,40,74,18,30,48,"5,912","11,110","17,022","2,006",8.49,
13-Mar-26,"1,496",33,25,58,18,8,26,"5,963","3,082","9,045","1,865",4.85,
14-Mar-26,"1,392",29,23,52,23,14,37,"8,130","5,310","13,440","1,623",8.28,
15-Mar-26,"1,396",27,21,48,14,13,27,"4,852","4,846","9,698","1,734",5.59,
16-Mar-26,"1,201",26,21,47,15,12,27,"5,168","4,364","9,532","1,450",6.57,
17-Mar-26,"1,169",34,14,48,19,8,27,"7,051","2,994","10,045","1,308",7.68,
18-Mar-26,"1,070",30,14,44,13,9,22,"5,123","3,532","8,655","1,235",7.01,
19-Mar-26,950,18,8,26,11,5,16,"3,419","2,014","5,433","1,080",5.03,
20-Mar-26,859,17,5,22,8,3,11,"2,624",929,"3,553",923,3.85,
21-Mar-26,798,13,6,19,5,5,10,"1,880","1,598","3,478",888,3.92,
22-Mar-26,974,20,3,23,10,2,12,"3,658",336,"3,994",912,4.38,
